request_time	start_time	cash_no	card	shoppingsize	queuelen	taken_time	user_login
2012-03-22 18:22:52	2012-3-22 18:22:51	3	0	1	0	46	GT-I9100
2012-03-22 18:22:56	2012-3-22 18:22:55	4	0	1	0	31	GT-I9100
2012-03-22 18:23:05	2012-3-22 18:23:4	5	0	0	0	18	GT-I9100
2012-03-22 18:23:17	2012-3-22 18:23:16	2	0	1	0	42	GT-I9100
2012-03-22 18:23:29	2012-3-22 18:23:27	1	0	0	0	34	GT-I9100
2012-03-22 18:23:35	2012-3-22 18:23:34	1	0	0	0	6	GT-I9100
2012-03-22 18:23:36	2012-3-22 18:23:35	3	0	1	0	36	GT-I9100
2012-03-22 18:23:36	2012-3-22 18:23:35	4	0	2	0	37	GT-I9100
2012-03-22 18:23:36	2012-3-22 18:23:35	5	0	0	0	22	GT-I9100
2012-03-22 18:23:38	2012-3-22 18:23:34	2	0	0	0	15	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:31	1	1	2	0	1	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:34	0	0	1	30	5	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:21:58	0	0	0	17	3	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:31	1	1	2	28	2	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:9	0	0	1	3	8	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:25	1	4	2	23	1	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:35	0	0	1	30	7	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:32	1	0	2	29	3	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:35	0	0	1	31	6	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:26	1	2	2	0	1	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:26	1	3	2	1	1	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:22:14	0	0	1	29	5	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:22:16	0	0	1	30	4	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:22:28	0	0	1	45	2	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:22:55	0	0	1	31	4	GT-I9100
2012-03-22 18:23:54	2012-3-18 0:29:33	1	0	1	30	4	GT-I9100
2012-03-22 18:23:54	2012-3-22 18:22:47	0	0	2	71	1	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:4	0	0	0	18	5	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:22:41	0	0	0	18	5	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:22:51	0	0	1	46	3	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:16	0	0	1	42	2	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:27	0	0	0	34	1	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:35	0	0	1	36	3	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:35	0	0	2	37	4	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:34	0	0	0	15	2	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:35	0	0	0	22	5	GT-I9100
2012-03-22 18:23:55	2012-3-22 18:23:34	0	0	0	6	1	GT-I9100
2012-03-25 20:13:16	
2012-03-25 20:14:01	
2012-03-25 20:17:44	
2012-03-25 20:17:44	
2012-03-25 20:17:45	
2012-03-25 20:17:45	
2012-03-25 20:17:48	
2012-03-25 20:17:51	true
2012-03-25 20:17:56	
2012-03-25 20:18:02		
2012-03-25 20:18:03		
2012-03-25 20:18:33	
2012-03-25 20:19:00	JD	 likes	 pizza
2012-03-31 01:14:28	2012-3-31 1:12:15	1	0	1	0	8	HTC Vision
2012-03-31 01:14:28	2012-3-31 1:12:16	0	0	1	0	9	HTC Vision
2012-03-31 01:26:05	2012-3-30 23:25:45	0	0	1	0	1	
2012-03-31 01:28:00	2012-3-31 1:25:47	0	0	1	0	1	HTC Vision
2012-03-31 01:28:34	2012-3-31 1:26:21	0	0	1	0	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 01:42:51	2012-3-31 1:40:38	0	0	1	0	25	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 01:42:51	2012-3-31 1:40:39	1	0	1	0	26	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 02:55:36	2012-3-31 0:55:15	0	0	0	0	1	sdk_mac:null
2012-03-31 02:58:55	2012-3-31 0:58:35	0	0	0	0	1	sdk_mac:null
2012-03-31 03:04:40	2012-3-31 1:4:20	0	0	0	0	5	sdk_mac:null
2012-03-31 03:10:48	2012-3-31 1:10:28	0	0	0	0	0	sdk_mac:null
2012-03-31 03:10:51	2012-3-31 1:10:32	0	1	0	0	1	sdk_mac:null
2012-03-31 03:12:59	2012-3-31 3:10:46	0	0	0	0	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:12:59	2012-3-31 3:10:46	0	0	0	0	2	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:13:00	2012-3-31 3:10:47	0	0	0	0	3	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:13:00	2012-3-31 3:10:47	0	0	0	0	4	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:13:00	2012-3-31 3:10:48	0	0	0	0	3	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:13:06	2012-3-31 3:10:50	0	0	0	0	2	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:38:34	2012-3-31 3:36:19	0	0	0	0	6	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:38:44	2012-3-31 3:36:31	0	0	0	0	5	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 03:55:30	2012-3-31 1:55:10	0	0	0	0	0	sdk_mac:null
2012-03-31 04:14:00	2012-3-31 2:13:39	0	1	3	0	68	sdk_mac:null
2012-03-31 04:22:15	2012-3-31 4:20:2	0	0	1	0	34	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:22:16	2012-3-31 4:20:3	1	0	2	0	35	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:22:17	2012-3-31 4:20:3	2	0	3	0	34	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:22:17	2012-3-31 4:20:4	3	1	3	0	35	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:23:39	2012-3-31 2:23:18	2	0	3	0	0	sdk_mac:null
2012-03-31 04:24:17	2012-3-31 2:23:57	0	0	1	0	40	sdk_mac:null
2012-03-31 04:24:18	2012-3-31 2:23:57	1	0	2	0	39	sdk_mac:null
2012-03-31 04:24:19	2012-3-31 2:23:58	2	0	3	0	38	sdk_mac:null
2012-03-31 04:24:57	2012-3-31 4:22:44	3	1	3	0	4	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:24:58	2012-3-31 4:22:44	2	0	3	0	4	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:24:58	2012-3-31 4:22:45	1	0	2	0	6	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:24:59	2012-3-31 4:22:45	0	0	1	0	6	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:25:03	2012-3-31 4:22:49	1	0	2	0	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:25:58	2012-3-31 4:23:45	3	1	3	0	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:26:00	2012-3-31 4:23:46	3	1	3	0	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:26:43	2012-3-31 4:24:29	3	1	3	0	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 04:32:56	2012-3-31 2:32:35	0	1	1	0	10	sdk_mac:null
2012-03-31 04:32:56	2012-3-31 2:32:36	1	0	2	0	10	sdk_mac:null
2012-03-31 04:32:57	2012-3-31 2:32:37	2	1	3	0	11	sdk_mac:null
2012-03-31 04:32:58	2012-3-31 2:32:37	3	0	1	0	5	sdk_mac:null
2012-03-31 04:37:33	2012-3-31 2:37:12	1	0	0	2	1	sdk_mac:null
2012-03-31 04:37:33	2012-3-31 2:37:13	0	0	0	2	2	sdk_mac:null
2012-03-31 04:42:18	2012-3-31 2:41:57	2	0	0	2	52	sdk_mac:null
2012-03-31 04:42:49	2012-3-31 2:42:28	3	1	3	3	27	sdk_mac:null
2012-03-31 04:43:04	2012-3-31 2:42:44	3	0	0	0	5	sdk_mac:null
2012-03-31 04:45:35	2012-3-31 2:45:14	11	1	1	6	27	sdk_mac:null
2012-03-31 04:45:35	2012-3-31 2:45:14	10	0	2	9	27	sdk_mac:null
2012-03-31 04:45:36	2012-3-31 2:45:15	9	1	3	6	26	sdk_mac:null
2012-03-31 04:45:36	2012-3-31 2:45:16	8	0	2	4	28	sdk_mac:null
2012-03-31 04:45:37	2012-3-31 2:45:16	7	0	2	4	35	sdk_mac:null
2012-03-31 04:45:37	2012-3-31 2:45:16	6	0	0	2	35	sdk_mac:null
2012-03-31 04:45:38	2012-3-31 2:45:17	5	0	2	4	36	sdk_mac:null
2012-03-31 04:48:03	2012-3-31 2:47:42	5	0	3	10	15	sdk_mac:null
2012-03-31 04:50:06	2012-3-31 2:49:40	4	1	2	5	5	sdk_mac:null
2012-03-31 04:51:13	2012-3-31 2:50:52	4	0	0	3	0	sdk_mac:null
2012-03-31 04:52:08	2012-3-31 2:51:46	0	1	2	3	17	sdk_mac:null
2012-03-31 04:52:14	2012-3-31 2:51:53	2	1	1	4	23	sdk_mac:null
2012-03-31 04:53:54	2012-3-31 2:53:33	0	1	3	2	9	sdk_mac:null
2012-03-31 04:56:58	2012-3-31 2:56:37	3	1	0	6	9	sdk_mac:null
2012-03-31 04:59:04	2012-3-31 2:58:43	2	0	0	4	8	sdk_mac:null
2012-03-31 04:59:17	2012-3-31 2:58:56	0	0	0	3	1	sdk_mac:null
2012-03-31 05:00:06	2012-3-31 2:59:45	0	0	0	2	0	sdk_mac:null
2012-03-31 05:00:09	2012-3-31 2:59:49	1	0	0	4	1	sdk_mac:null
2012-03-31 05:00:39	2012-3-31 3:0:18	6	1	1	6	18	sdk_mac:null
2012-03-31 05:08:11	2012-3-31 3:7:50	98	1	2	5	5	sdk_mac:null
2012-03-31 05:13:21	2012-3-31 5:11:8	5	1	3	8	27	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:22	2012-3-31 5:11:8	4	1	2	9	27	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:22	2012-3-31 5:11:9	3	0	1	7	29	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:22	2012-3-31 5:11:9	2	1	3	9	30	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:23	2012-3-31 5:11:9	1	1	2	7	30	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 1:26:21	0	0	1	1	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:10:47	0	0	0	3	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:10:47	0	0	0	4	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:36:19	0	0	0	6	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 1:12:16	0	0	1	9	0	HTC Vision
2012-03-31 05:13:47	2012-3-31 1:40:39	0	0	1	26	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:10:46	0	0	0	2	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 1:40:38	0	0	1	25	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 1:12:15	0	0	1	8	1	HTC Vision
2012-03-31 05:13:47	2012-3-31 3:36:31	0	0	0	5	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:10:50	0	0	0	2	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 3:10:46	0	0	0	1	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:47	2012-3-31 1:25:47	0	0	1	1	0	HTC Vision
2012-03-31 05:13:48	2012-3-31 4:20:2	0	0	1	34	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:22:45	0	0	1	6	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 3:10:48	0	0	0	3	0	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:20:4	1	0	3	35	3	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:20:3	0	0	2	35	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:22:44	1	0	3	4	3	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:22:44	0	0	3	4	2	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:20:3	0	0	3	34	2	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:22:49	0	0	2	1	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:23:45	1	0	3	0	3	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 5:11:9	1	7	2	30	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:22:45	0	0	2	6	1	HTC Vision_mac:90:21:55:BD:5F:5E
2012-03-31 05:13:48	2012-3-31 4:24:29	1	0	3	0	3	HTC Vision_mac:90:21:55:BD:5F:5E
